loan_id,applicant_id,sanction_amount,ltv_ratio,interest_rate,tenure_months,branch_code
LN-001632,APP-001632,6000000,0.84,9.25,180,BR-004
LN-001633,APP-001633,6600000,0.8,9.25,240,BR-001
LN-001634,APP-001634,4500000,0.63,9.25,240,BR-001
LN-001635,APP-001635,2900000,0.87,9.25,240,BR-005
LN-001636,APP-001636,1600000,0.7,9.25,240,BR-004
LN-001637,APP-001637,1900000,0.83,10.0,240,BR-001
LN-001638,APP-001638,4100000,0.81,9.25,120,BR-005
LN-001639,APP-001639,2000000,0.74,9.25,120,BR-001
LN-001640,APP-001640,4600000,0.78,9.25,180,BR-002
LN-001641,APP-001641,1800000,0.74,9.25,240,BR-002
LN-001642,APP-001642,2700000,0.69,9.25,240,BR-001
LN-001643,APP-001643,1700000,0.73,9.25,180,BR-005
LN-001644,APP-001644,5400000,0.69,9.25,240,BR-005
LN-001645,APP-001645,6700000,0.73,8.5,240,BR-005
LN-001646,APP-001646,5200000,0.66,9.25,240,BR-004
LN-001647,APP-001647,4500000,0.62,9.25,360,BR-003
LN-001648,APP-001648,1400000,0.81,9.25,180,BR-005
LN-001649,APP-001649,7200000,0.74,10.0,180,BR-005
LN-001650,APP-001650,1600000,0.85,9.25,360,BR-001
LN-001651,APP-001651,1000000,0.71,9.25,180,BR-005
LN-001652,APP-001652,2900000,0.67,9.25,360,BR-003
LN-001653,APP-001653,4700000,0.72,8.5,360,BR-001
LN-001654,APP-001654,3900000,0.64,9.25,240,BR-005
LN-001655,APP-001655,4700000,0.85,9.25,120,BR-003
LN-001656,APP-001656,2300000,0.65,9.25,240,BR-001
LN-001657,APP-001657,2000000,0.75,8.5,120,BR-004
LN-001658,APP-001658,2400000,0.65,8.5,180,BR-004
LN-001659,APP-001659,1600000,0.61,8.5,120,BR-001
LN-001660,APP-001660,5200000,0.84,8.5,120,BR-003
LN-001661,APP-001661,4800000,0.77,8.5,240,BR-003
LN-001662,APP-001662,1200000,0.62,9.25,360,BR-002
LN-001663,APP-001663,2500000,0.87,9.25,240,BR-002
LN-001664,APP-001664,6200000,0.72,9.25,180,BR-005
LN-001665,APP-001665,4800000,0.73,9.25,180,BR-002
LN-001666,APP-001666,2400000,0.85,10.0,360,BR-001
LN-001667,APP-001667,7800000,0.67,9.25,180,BR-003
LN-001668,APP-001668,1900000,0.77,9.25,120,BR-003
LN-001669,APP-001669,3700000,0.67,9.25,180,BR-001
LN-001670,APP-001670,10300000,0.85,9.25,180,BR-004
LN-001671,APP-001671,5100000,0.85,9.25,240,BR-002
LN-001672,APP-001672,7200000,0.74,9.25,240,BR-001
LN-001673,APP-001673,4600000,0.86,10.0,240,BR-005
LN-001674,APP-001674,4600000,0.9,8.5,240,BR-004
LN-001675,APP-001675,2900000,0.84,9.25,240,BR-001
LN-001676,APP-001676,3900000,0.62,9.25,240,BR-002
LN-001677,APP-001677,4700000,0.65,9.25,180,BR-004
LN-001678,APP-001678,4700000,0.78,9.25,180,BR-005
LN-001679,APP-001679,2500000,0.71,9.25,240,BR-004
LN-001680,APP-001680,8100000,0.9,10.0,240,BR-003
LN-001681,APP-001681,6400000,0.79,8.5,240,BR-001
LN-001682,APP-001682,4200000,0.9,8.5,180,BR-004
LN-001683,APP-001683,1500000,0.6,9.25,180,BR-001
LN-001684,APP-001684,5700000,0.73,9.25,240,BR-001
LN-001685,APP-001685,5200000,0.72,9.25,120,BR-001
LN-001686,APP-001686,2000000,0.73,8.5,240,BR-003
LN-001687,APP-001687,9400000,0.87,8.5,240,BR-004
LN-001688,APP-001688,3200000,0.72,8.5,120,BR-003
LN-001689,APP-001689,5900000,0.84,9.25,120,BR-002
LN-001690,APP-001690,2500000,0.79,9.25,120,BR-004
LN-001691,APP-001691,2200000,0.75,9.25,180,BR-004
LN-001692,APP-001692,4200000,0.81,9.25,240,BR-003
LN-001693,APP-001693,6000000,0.67,8.5,180,BR-004
LN-001694,APP-001694,5700000,0.64,9.25,240,BR-003
LN-001695,APP-001695,7300000,0.89,9.25,240,BR-001
LN-001696,APP-001696,2600000,0.72,9.25,240,BR-002
LN-001697,APP-001697,2700000,0.69,9.25,120,BR-001
LN-001698,APP-001698,3100000,0.68,8.5,120,BR-005
LN-001699,APP-001699,1700000,0.79,9.25,240,BR-005
LN-001700,APP-001700,3300000,0.9,9.25,240,BR-001
LN-001701,APP-001701,2200000,0.87,8.5,240,BR-003
LN-001702,APP-001702,6600000,0.72,9.25,240,BR-005
LN-001703,APP-001703,3100000,0.87,8.5,240,BR-005
LN-001704,APP-001704,1200000,0.74,8.5,240,BR-003
LN-001705,APP-001705,7600000,0.63,9.25,180,BR-004
LN-001706,APP-001706,1600000,0.66,9.25,360,BR-003
LN-001707,APP-001707,2100000,0.67,8.5,360,BR-002
LN-001708,APP-001708,4000000,0.88,9.25,240,BR-004
LN-001709,APP-001709,3800000,0.89,8.5,180,BR-004
LN-001710,APP-001710,1500000,0.67,9.25,240,BR-002
LN-001711,APP-001711,5800000,0.72,9.25,180,BR-001
LN-001712,APP-001712,9600000,0.89,9.25,240,BR-004
LN-001713,APP-001713,2700000,0.85,9.25,240,BR-004
LN-001714,APP-001714,4000000,0.73,9.25,120,BR-001
LN-001715,APP-001715,5600000,0.74,9.25,240,BR-002
LN-001716,APP-001716,3100000,0.9,10.0,180,BR-004
LN-001717,APP-001717,6500000,0.61,9.25,240,BR-001
LN-001718,APP-001718,4200000,0.88,9.25,360,BR-002
LN-001719,APP-001719,3300000,0.63,9.25,180,BR-002
LN-001720,APP-001720,3500000,0.87,9.25,180,BR-005
LN-001721,APP-001721,20700000,0.62,8.5,360,BR-004
LN-001722,APP-001722,6900000,0.89,9.25,240,BR-004
LN-001723,APP-001723,7100000,0.6,9.25,120,BR-001
LN-001724,APP-001724,4200000,0.89,8.5,120,BR-001
LN-001725,APP-001725,3000000,0.62,9.25,360,BR-005
LN-001726,APP-001726,4800000,0.64,8.5,240,BR-001
LN-001727,APP-001727,3100000,0.89,9.25,360,BR-005
LN-001728,APP-001728,3200000,0.84,9.25,240,BR-003
LN-001729,APP-001729,7800000,0.85,9.25,240,BR-005
LN-001730,APP-001730,2800000,0.73,8.5,180,BR-003
LN-001731,APP-001731,1800000,0.62,8.5,120,BR-005
LN-001732,APP-001732,6800000,0.64,8.5,240,BR-003
LN-001733,APP-001733,4900000,0.88,9.25,180,BR-004
LN-001734,APP-001734,3300000,0.72,8.5,240,BR-005
LN-001735,APP-001735,1600000,0.83,9.25,120,BR-002
LN-001736,APP-001736,2200000,0.81,9.25,240,BR-005
LN-001737,APP-001737,6700000,0.74,8.5,240,BR-001
LN-001738,APP-001738,2900000,0.86,8.5,120,BR-004
LN-001739,APP-001739,3300000,0.8,8.5,180,BR-004
LN-001740,APP-001740,2800000,0.82,8.5,240,BR-001
LN-001741,APP-001741,7100000,0.85,9.25,240,BR-001
LN-001742,APP-001742,6600000,0.67,8.5,180,BR-003
LN-001743,APP-001743,1600000,0.69,9.25,240,BR-004
LN-001744,APP-001744,6300000,0.83,9.25,240,BR-003
LN-001745,APP-001745,4900000,0.85,9.25,180,BR-004
LN-001746,APP-001746,7400000,0.78,8.5,180,BR-002
LN-001747,APP-001747,10500000,0.9,8.5,240,BR-004
LN-001748,APP-001748,3100000,0.86,9.25,240,BR-004
LN-001749,APP-001749,4200000,0.84,8.5,240,BR-002
LN-001750,APP-001750,12500000,0.67,8.5,240,BR-002
LN-001751,APP-001751,4700000,0.7,9.25,120,BR-002
LN-001752,APP-001752,3700000,0.71,8.5,240,BR-002
LN-001753,APP-001753,2000000,0.63,9.25,240,BR-005
LN-001754,APP-001754,7700000,0.82,8.5,180,BR-005
LN-001755,APP-001755,9900000,0.72,8.5,180,BR-004
LN-001756,APP-001756,2400000,0.79,9.25,240,BR-005
LN-001757,APP-001757,4100000,0.81,8.5,180,BR-002
LN-001758,APP-001758,2200000,0.6,8.5,180,BR-002
LN-001759,APP-001759,2400000,0.61,8.5,240,BR-005
LN-001760,APP-001760,5200000,0.7,8.5,180,BR-005
LN-001761,APP-001761,2700000,0.8,9.25,240,BR-005
LN-001762,APP-001762,2300000,0.84,10.0,240,BR-005
LN-001763,APP-001763,5700000,0.88,9.25,360,BR-001
LN-001764,APP-001764,5800000,0.68,9.25,180,BR-001
LN-001765,APP-001765,2600000,0.63,8.5,120,BR-004
LN-001766,APP-001766,3400000,0.63,8.5,180,BR-005
LN-001767,APP-001767,9800000,0.67,9.25,120,BR-001
LN-001768,APP-001768,4900000,0.67,9.25,240,BR-001
LN-001769,APP-001769,2800000,0.71,8.5,360,BR-004
LN-001770,APP-001770,6200000,0.77,9.25,120,BR-001
LN-001771,APP-001771,7100000,0.67,8.5,180,BR-005
LN-001772,APP-001772,18100000,0.85,10.0,240,BR-004
LN-001773,APP-001773,6800000,0.74,9.25,240,BR-004
LN-001774,APP-001774,7300000,0.69,9.25,180,BR-004
LN-001775,APP-001775,3200000,0.83,10.0,360,BR-002
LN-001776,APP-001776,2500000,0.72,9.25,240,BR-001
LN-001777,APP-001777,6100000,0.89,9.25,360,BR-004
LN-001778,APP-001778,7000000,0.62,9.25,120,BR-001
LN-001779,APP-001779,3200000,0.83,9.25,240,BR-002
LN-001780,APP-001780,5000000,0.69,9.25,120,BR-002
LN-001781,APP-001781,5100000,0.66,9.25,240,BR-004
LN-001782,APP-001782,1600000,0.86,8.5,360,BR-004
LN-001783,APP-001783,7000000,0.74,9.25,180,BR-005
LN-001784,APP-001784,4500000,0.75,8.5,180,BR-004
LN-001785,APP-001785,4400000,0.72,9.25,180,BR-003
LN-001786,APP-001786,3800000,0.72,8.5,240,BR-001
LN-001787,APP-001787,2000000,0.81,8.5,240,BR-004
LN-001788,APP-001788,4900000,0.83,9.25,240,BR-005
LN-001789,APP-001789,9200000,0.84,8.5,240,BR-002
LN-001790,APP-001790,3600000,0.76,8.5,240,BR-002
LN-001791,APP-001791,3300000,0.81,9.25,120,BR-003
LN-001792,APP-001792,2800000,0.83,9.25,240,BR-004
LN-001793,APP-001793,1500000,0.8,9.25,180,BR-003
LN-001794,APP-001794,6900000,0.66,8.5,240,BR-005
LN-001795,APP-001795,5200000,0.81,8.5,240,BR-001
LN-001796,APP-001796,6600000,0.79,9.25,240,BR-005
LN-001797,APP-001797,6800000,0.73,10.0,240,BR-003
LN-001798,APP-001798,4300000,0.79,9.25,240,BR-003
LN-001799,APP-001799,3600000,0.86,8.5,180,BR-002
LN-001800,APP-001800,4100000,0.72,9.25,240,BR-005
LN-001801,APP-001801,2300000,0.64,9.25,240,BR-001
LN-001802,APP-001802,2900000,0.78,9.25,240,BR-002
LN-001803,APP-001803,3000000,0.67,8.5,180,BR-001
LN-001804,APP-001804,2500000,0.76,9.25,240,BR-004
LN-001805,APP-001805,5700000,0.8,9.25,240,BR-003
LN-001806,APP-001806,12000000,0.75,9.25,240,BR-001
LN-001807,APP-001807,2700000,0.69,9.25,240,BR-005
LN-001808,APP-001808,3500000,0.86,9.25,180,BR-002
LN-001809,APP-001809,12000000,0.64,8.5,240,BR-003
LN-001810,APP-001810,5600000,0.61,8.5,180,BR-002
LN-001811,APP-001811,1400000,0.9,10.0,240,BR-004
LN-001812,APP-001812,2900000,0.61,8.5,180,BR-002
LN-001813,APP-001813,9200000,0.75,9.25,240,BR-001
LN-001814,APP-001814,7000000,0.76,8.5,240,BR-002
LN-001815,APP-001815,6100000,0.7,9.25,240,BR-002
LN-001816,APP-001816,3800000,0.68,9.25,240,BR-004
LN-001817,APP-001817,7300000,0.82,9.25,240,BR-001
LN-001818,APP-001818,6700000,0.81,10.0,180,BR-002
LN-001819,APP-001819,3300000,0.64,8.5,180,BR-004
LN-001820,APP-001820,2800000,0.74,9.25,240,BR-002
LN-001821,APP-001821,1800000,0.82,8.5,240,BR-001
LN-001822,APP-001822,2700000,0.69,8.5,360,BR-005
LN-001823,APP-001823,3500000,0.74,10.0,240,BR-002
LN-001824,APP-001824,2500000,0.8,10.0,180,BR-002
LN-001825,APP-001825,4800000,0.76,9.25,180,BR-005
LN-001826,APP-001826,8800000,0.63,9.25,180,BR-005
LN-001827,APP-001827,3500000,0.67,9.25,180,BR-005
LN-001828,APP-001828,1400000,0.89,9.25,180,BR-002
LN-001829,APP-001829,3800000,0.66,8.5,240,BR-005
LN-001830,APP-001830,12800000,0.62,9.25,240,BR-002
LN-001831,APP-001831,7300000,0.73,9.25,180,BR-002
LN-001832,APP-001832,1400000,0.62,9.25,180,BR-003
LN-001833,APP-001833,3300000,0.7,10.0,180,BR-001
LN-001834,APP-001834,3600000,0.7,10.0,180,BR-001
LN-001835,APP-001835,2200000,0.69,9.25,240,BR-002
LN-001836,APP-001836,4200000,0.62,8.5,180,BR-005
LN-001837,APP-001837,9300000,0.66,9.25,240,BR-002
LN-001838,APP-001838,2100000,0.79,9.25,120,BR-001
LN-001839,APP-001839,3100000,0.79,10.0,240,BR-001
LN-001840,APP-001840,6400000,0.77,9.25,240,BR-004
LN-001841,APP-001841,6400000,0.72,8.5,240,BR-002
LN-001842,APP-001842,3200000,0.87,8.5,180,BR-005
LN-001843,APP-001843,4500000,0.81,9.25,240,BR-002
LN-001844,APP-001844,1200000,0.86,9.25,240,BR-005
LN-001845,APP-001845,9900000,0.76,9.25,240,BR-005
LN-001846,APP-001846,4400000,0.83,8.5,180,BR-001
LN-001847,APP-001847,3700000,0.78,8.5,120,BR-004
LN-001848,APP-001848,2200000,0.82,8.5,180,BR-001
LN-001849,APP-001849,2300000,0.81,9.25,360,BR-002
LN-001850,APP-001850,4700000,0.69,9.25,240,BR-003
LN-001851,APP-001851,3900000,0.64,8.5,180,BR-003
LN-001852,APP-001852,2300000,0.84,9.25,180,BR-005
LN-001853,APP-001853,2200000,0.62,8.5,120,BR-001
LN-001854,APP-001854,4300000,0.78,9.25,180,BR-003
LN-001855,APP-001855,8000000,0.9,9.25,240,BR-004
LN-001856,APP-001856,4600000,0.65,8.5,240,BR-002
LN-001857,APP-001857,2600000,0.82,9.25,240,BR-005
LN-001858,APP-001858,5000000,0.89,9.25,360,BR-002
LN-001859,APP-001859,5400000,0.75,8.5,180,BR-005
LN-001860,APP-001860,2200000,0.77,8.5,240,BR-001
LN-001861,APP-001861,4700000,0.71,9.25,240,BR-003
LN-001862,APP-001862,9900000,0.73,9.25,240,BR-005
LN-001863,APP-001863,2500000,0.79,9.25,180,BR-005
LN-001864,APP-001864,4400000,0.86,8.5,360,BR-001
LN-001865,APP-001865,4900000,0.9,10.0,240,BR-004
LN-001866,APP-001866,5400000,0.86,10.0,120,BR-002
LN-001867,APP-001867,5100000,0.83,9.25,240,BR-003
LN-001868,APP-001868,9500000,0.82,9.25,180,BR-002
LN-001869,APP-001869,6400000,0.67,8.5,240,BR-003
LN-001870,APP-001870,3600000,0.74,8.5,120,BR-004
LN-001871,APP-001871,2800000,0.81,9.25,180,BR-001
LN-001872,APP-001872,3800000,0.64,8.5,180,BR-005
LN-001873,APP-001873,4400000,0.87,9.25,240,BR-003
LN-001874,APP-001874,6300000,0.72,9.25,240,BR-001
LN-001875,APP-001875,3400000,0.84,10.0,240,BR-003
LN-001876,APP-001876,2700000,0.86,9.25,240,BR-003
LN-001877,APP-001877,5400000,0.65,8.5,360,BR-005
LN-001878,APP-001878,3100000,0.61,8.5,180,BR-001
LN-001879,APP-001879,12300000,0.69,9.25,240,BR-002
LN-001880,APP-001880,4300000,0.65,8.5,240,BR-005
LN-001881,APP-001881,5200000,0.9,9.25,240,BR-002
LN-001882,APP-001882,2500000,0.77,9.25,240,BR-002
LN-001883,APP-001883,4700000,0.77,8.5,240,BR-005
LN-001884,APP-001884,6800000,0.9,10.0,180,BR-004
LN-001885,APP-001885,2000000,0.68,8.5,240,BR-004
LN-001886,APP-001886,7000000,0.76,8.5,360,BR-005
LN-001887,APP-001887,3100000,0.64,9.25,240,BR-004
LN-001888,APP-001888,4600000,0.63,8.5,240,BR-005
LN-001889,APP-001889,2300000,0.73,9.25,180,BR-003
LN-001890,APP-001890,3200000,0.87,9.25,240,BR-001
LN-001891,APP-001891,6700000,0.73,9.25,360,BR-005
LN-001892,APP-001892,3500000,0.74,8.5,180,BR-001
LN-001893,APP-001893,6300000,0.86,9.25,240,BR-003
LN-001894,APP-001894,3000000,0.69,8.5,240,BR-003
LN-001895,APP-001895,3400000,0.75,8.5,240,BR-004
LN-001896,APP-001896,3000000,0.75,10.0,240,BR-002
LN-001897,APP-001897,11400000,0.85,9.25,240,BR-004
LN-001898,APP-001898,2100000,0.61,9.25,120,BR-001
LN-001899,APP-001899,3900000,0.72,9.25,240,BR-004
LN-001900,APP-001900,2900000,0.68,8.5,180,BR-002
LN-001901,APP-001901,6700000,0.68,8.5,360,BR-003
LN-001902,APP-001902,3500000,0.67,8.5,240,BR-004
LN-001903,APP-001903,2500000,0.71,9.25,180,BR-001
LN-001904,APP-001904,2600000,0.87,9.25,360,BR-005
LN-001905,APP-001905,2300000,0.81,8.5,240,BR-003
LN-001906,APP-001906,5600000,0.87,8.5,240,BR-004
LN-001907,APP-001907,1500000,0.66,8.5,360,BR-001
LN-001908,APP-001908,2700000,0.85,9.25,240,BR-002
LN-001909,APP-001909,4100000,0.73,8.5,360,BR-001
LN-001910,APP-001910,2300000,0.89,9.25,180,BR-001
LN-001911,APP-001911,3800000,0.78,8.5,120,BR-003
LN-001912,APP-001912,9300000,0.75,9.25,360,BR-003
LN-001913,APP-001913,7100000,0.88,9.25,240,BR-005
LN-001914,APP-001914,1800000,0.71,8.5,240,BR-004
LN-001915,APP-001915,1600000,0.82,9.25,240,BR-004
LN-001916,APP-001916,3000000,0.74,8.5,240,BR-001
LN-001917,APP-001917,3400000,0.82,9.25,120,BR-004
LN-001918,APP-001918,6900000,0.68,9.25,120,BR-003
LN-001919,APP-001919,5500000,0.72,8.5,360,BR-003
LN-001920,APP-001920,1900000,0.7,9.25,240,BR-004
LN-001921,APP-001921,3600000,0.86,9.25,180,BR-002
LN-001922,APP-001922,4500000,0.88,9.25,360,BR-004
LN-001923,APP-001923,3500000,0.82,8.5,360,BR-001
LN-001924,APP-001924,2800000,0.85,9.25,240,BR-003
LN-001925,APP-001925,4200000,0.71,9.25,240,BR-005
LN-001926,APP-001926,5500000,0.65,9.25,360,BR-003
LN-001927,APP-001927,5600000,0.81,9.25,180,BR-005
LN-001928,APP-001928,15300000,0.79,9.25,240,BR-004
LN-001929,APP-001929,4800000,0.68,9.25,240,BR-001
LN-001930,APP-001930,9900000,0.87,9.25,240,BR-001
LN-001931,APP-001931,3200000,0.71,8.5,240,BR-001
LN-001932,APP-001932,2900000,0.84,8.5,240,BR-002
LN-001933,APP-001933,9700000,0.64,8.5,180,BR-004
LN-001934,APP-001934,4600000,0.69,8.5,240,BR-002
LN-001935,APP-001935,2800000,0.78,8.5,180,BR-005
LN-001936,APP-001936,3200000,0.67,8.5,120,BR-002
LN-001937,APP-001937,1900000,0.89,9.25,240,BR-001
LN-001938,APP-001938,6800000,0.77,9.25,240,BR-003
LN-001939,APP-001939,3200000,0.82,8.5,180,BR-001
LN-001940,APP-001940,6200000,0.77,8.5,240,BR-004
LN-001941,APP-001941,5900000,0.72,8.5,120,BR-004
LN-001942,APP-001942,9700000,0.85,9.25,180,BR-001
LN-001943,APP-001943,4100000,0.71,10.0,180,BR-001
LN-001944,APP-001944,2600000,0.73,8.5,180,BR-004
LN-001945,APP-001945,4300000,0.86,9.25,240,BR-002
LN-001946,APP-001946,1600000,0.63,9.25,240,BR-002
LN-001947,APP-001947,1800000,0.66,9.25,240,BR-004
LN-001948,APP-001948,15200000,0.89,8.5,360,BR-001
LN-001949,APP-001949,3900000,0.89,9.25,180,BR-001
LN-001950,APP-001950,4800000,0.72,8.5,240,BR-004
LN-001951,APP-001951,3800000,0.83,9.25,360,BR-004
LN-001952,APP-001952,3300000,0.79,9.25,180,BR-002
LN-001953,APP-001953,4500000,0.75,9.25,240,BR-004
LN-001954,APP-001954,3200000,0.84,9.25,180,BR-001
LN-001955,APP-001955,4000000,0.9,10.0,360,BR-001
LN-001956,APP-001956,1900000,0.63,9.25,240,BR-004
LN-001957,APP-001957,3700000,0.85,9.25,240,BR-005
LN-001958,APP-001958,1800000,0.68,9.25,240,BR-001
LN-001959,APP-001959,3800000,0.79,9.25,240,BR-002
LN-001960,APP-001960,4900000,0.83,9.25,180,BR-005
LN-001961,APP-001961,3400000,0.87,9.25,180,BR-005
LN-001962,APP-001962,4100000,0.88,8.5,240,BR-003
LN-001963,APP-001963,3000000,0.88,9.25,240,BR-005
LN-001964,APP-001964,5800000,0.8,8.5,360,BR-004
LN-001965,APP-001965,11300000,0.79,8.5,240,BR-003
LN-001966,APP-001966,4400000,0.6,8.5,240,BR-002
LN-001967,APP-001967,2800000,0.63,9.25,240,BR-005
LN-001968,APP-001968,4900000,0.72,9.25,180,BR-003
LN-001969,APP-001969,7500000,0.84,8.5,180,BR-001
LN-001970,APP-001970,1500000,0.78,8.5,240,BR-005
LN-001971,APP-001971,3800000,0.67,9.25,240,BR-003
LN-001972,APP-001972,2300000,0.64,9.25,240,BR-001
LN-001973,APP-001973,1400000,0.74,8.5,360,BR-003
LN-001974,APP-001974,4000000,0.87,9.25,240,BR-001
LN-001975,APP-001975,5400000,0.62,8.5,180,BR-004
LN-001976,APP-001976,1700000,0.74,8.5,240,BR-001
LN-001977,APP-001977,1100000,0.62,8.5,360,BR-005
LN-001978,APP-001978,3500000,0.68,8.5,180,BR-005
LN-001979,APP-001979,1100000,0.89,8.5,240,BR-005
LN-001980,APP-001980,5600000,0.63,9.25,180,BR-005
LN-001981,APP-001981,2800000,0.62,8.5,240,BR-002
LN-001982,APP-001982,5100000,0.63,9.25,240,BR-005
LN-001983,APP-001983,7300000,0.81,9.25,240,BR-005
LN-001984,APP-001984,6600000,0.6,9.25,240,BR-003
LN-001985,APP-001985,3900000,0.72,9.25,240,BR-002
LN-001986,APP-001986,5400000,0.89,9.25,180,BR-002
LN-001987,APP-001987,2800000,0.62,9.25,240,BR-005
LN-001988,APP-001988,3100000,0.88,9.25,180,BR-003
LN-001989,APP-001989,3900000,0.64,9.25,360,BR-003
LN-001990,APP-001990,2000000,0.64,8.5,180,BR-001
LN-001991,APP-001991,6700000,0.78,8.5,180,BR-003
LN-001992,APP-001992,5100000,0.67,8.5,120,BR-003
LN-001993,APP-001993,2900000,0.6,8.5,240,BR-001
LN-001994,APP-001994,9300000,0.82,9.25,360,BR-003
LN-001995,APP-001995,2100000,0.71,9.25,120,BR-001
LN-001996,APP-001996,8100000,0.87,9.25,240,BR-003
LN-001997,APP-001997,3900000,0.68,9.25,240,BR-005
LN-001998,APP-001998,4400000,0.8,8.5,240,BR-002
LN-001999,APP-001999,2600000,0.7,8.5,180,BR-002
LN-002000,APP-002000,4000000,0.64,9.25,180,BR-005
LN-002001,APP-002001,2100000,0.89,9.25,180,BR-003
LN-002002,APP-002002,5700000,0.78,9.25,240,BR-005
LN-002003,APP-002003,4200000,0.85,9.25,240,BR-002
LN-002004,APP-002004,2200000,0.68,8.5,360,BR-002
LN-002005,APP-002005,2900000,0.72,8.5,240,BR-005
LN-002006,APP-002006,3900000,0.74,9.25,180,BR-003
LN-002007,APP-002007,2900000,0.79,9.25,120,BR-002
LN-002008,APP-002008,8100000,0.72,9.25,180,BR-005
LN-002009,APP-002009,5900000,0.67,9.25,360,BR-002
LN-002010,APP-002010,4200000,0.66,9.25,180,BR-005
LN-002011,APP-002011,4000000,0.78,9.25,180,BR-002
LN-002012,APP-002012,2500000,0.67,8.5,180,BR-005
LN-002013,APP-002013,4800000,0.72,8.5,240,BR-004
LN-002014,APP-002014,1300000,0.61,9.25,180,BR-003
LN-002015,APP-002015,3300000,0.68,8.5,240,BR-002
LN-002016,APP-002016,1900000,0.74,8.5,360,BR-003
LN-002017,APP-002017,5300000,0.84,9.25,120,BR-004
LN-002018,APP-002018,2700000,0.71,8.5,180,BR-004
LN-002019,APP-002019,4200000,0.69,9.25,240,BR-004
LN-002020,APP-002020,2200000,0.75,9.25,180,BR-003
LN-002021,APP-002021,3900000,0.61,9.25,240,BR-002
LN-002022,APP-002022,3500000,0.71,9.25,240,BR-002
LN-002023,APP-002023,3000000,0.64,9.25,240,BR-003
LN-002024,APP-002024,1400000,0.68,9.25,180,BR-001
LN-002025,APP-002025,1400000,0.72,9.25,240,BR-005
LN-002026,APP-002026,1300000,0.62,8.5,240,BR-002
LN-002027,APP-002027,4000000,0.84,9.25,240,BR-004
LN-002028,APP-002028,3700000,0.78,10.0,360,BR-003
LN-002029,APP-002029,6200000,0.67,8.5,240,BR-002
LN-002030,APP-002030,1300000,0.7,9.25,240,BR-004
LN-002031,APP-002031,4600000,0.71,9.25,180,BR-004
LN-002032,APP-002032,2200000,0.84,9.25,180,BR-004
LN-002033,APP-002033,1800000,0.69,9.25,240,BR-002
LN-002034,APP-002034,2500000,0.84,10.0,240,BR-002
LN-002035,APP-002035,2400000,0.75,9.25,240,BR-003
LN-002036,APP-002036,4600000,0.69,9.25,240,BR-003
LN-002037,APP-002037,4100000,0.83,9.25,180,BR-003
LN-002038,APP-002038,3400000,0.79,8.5,120,BR-001
LN-002039,APP-002039,5200000,0.82,8.5,120,BR-002
LN-002040,APP-002040,6200000,0.62,8.5,240,BR-002
LN-002041,APP-002041,3500000,0.85,8.5,120,BR-003
LN-002042,APP-002042,3800000,0.67,8.5,240,BR-001
LN-002043,APP-002043,1800000,0.63,8.5,240,BR-002
LN-002044,APP-002044,2200000,0.8,8.5,240,BR-003
LN-002045,APP-002045,7100000,0.67,9.25,240,BR-002
LN-002046,APP-002046,11000000,0.72,9.25,120,BR-001
LN-002047,APP-002047,3300000,0.81,8.5,180,BR-005
LN-002048,APP-002048,4400000,0.63,9.25,180,BR-004
LN-002049,APP-002049,4300000,0.64,9.25,240,BR-003
LN-002050,APP-002050,10800000,0.9,10.0,360,BR-004
LN-002051,APP-002051,6900000,0.73,9.25,240,BR-003
LN-002052,APP-002052,4600000,0.67,9.25,180,BR-001
LN-002053,APP-002053,6200000,0.75,8.5,120,BR-005
LN-002054,APP-002054,6000000,0.79,9.25,240,BR-005
LN-002055,APP-002055,2500000,0.72,8.5,240,BR-003
LN-002056,APP-002056,7100000,0.65,8.5,180,BR-002
LN-002057,APP-002057,3000000,0.79,8.5,240,BR-002
LN-002058,APP-002058,2300000,0.64,9.25,240,BR-002
LN-002059,APP-002059,6200000,0.8,9.25,240,BR-005
LN-002060,APP-002060,3500000,0.68,9.25,240,BR-005
LN-002061,APP-002061,3100000,0.6,9.25,240,BR-002
LN-002062,APP-002062,3500000,0.74,9.25,240,BR-004
LN-002063,APP-002063,8700000,0.69,9.25,240,BR-005
LN-002064,APP-002064,4200000,0.67,8.5,120,BR-002
LN-002065,APP-002065,1500000,0.75,8.5,360,BR-001
LN-002066,APP-002066,1000000,0.8,10.0,360,BR-004
LN-002067,APP-002067,3700000,0.69,8.5,180,BR-003
LN-002068,APP-002068,4000000,0.83,9.25,240,BR-005
LN-002069,APP-002069,9100000,0.62,9.25,360,BR-001
LN-002070,APP-002070,3500000,0.72,9.25,120,BR-002
LN-002071,APP-002071,5800000,0.77,10.0,180,BR-001
LN-002072,APP-002072,1700000,0.69,8.5,240,BR-005
LN-002073,APP-002073,2600000,0.73,9.25,180,BR-005
LN-002074,APP-002074,2400000,0.88,9.25,360,BR-004
LN-002075,APP-002075,4000000,0.8,8.5,180,BR-004
LN-002076,APP-002076,1300000,0.66,9.25,180,BR-002
LN-002077,APP-002077,9900000,0.77,9.25,240,BR-003
LN-002078,APP-002078,1700000,0.65,9.25,240,BR-004
LN-002079,APP-002079,5600000,0.87,9.25,180,BR-001
LN-002080,APP-002080,3000000,0.83,10.0,180,BR-001
LN-002081,APP-002081,4400000,0.88,9.25,180,BR-003
